date,open,high,low,close,volume
2023-05-08,63.81,64.055,63.61,63.92,7240719
2023-05-09,63.64,63.75,63.28,63.39,9067653
2023-05-10,63.32,63.64,62.99,63.5,10134030
2023-05-11,63.58,63.93,63.01,63.86,9581525
2023-05-12,63.86,64.19,63.7,64.11,8740752
2023-05-15,64.22,64.25,63.71,63.94,8149993
2023-05-16,63.895,63.895,63.16,63.22,9130361
2023-05-17,63.4,63.42,62.73,63.15,11582950
2023-05-18,63.01,63.04,62.57,62.8,13595050
2023-05-19,63.04,63.1,62.605,62.83,14251360
2023-05-22,62.785,62.865,61.44,61.51,15055370
2023-05-23,61.51,61.67,61.17,61.4,13932720
2023-05-24,61.38,61.43,60.72,60.88,11090130
2023-05-25,60.47,60.73,60.15,60.41,14463630
2023-05-26,60.45,60.64,60.11,60.26,12570280
2023-05-30,60.09,60.195,59.52,59.78,15634210
2023-05-31,59.92,60.28,59.365,59.66,59432170
2023-06-01,59.94,60.165,59.77,60.0,13402680
2023-06-02,60.27,61.32,60.08,61.16,15259850
2023-06-05,61.0,61.44,60.5548,60.75,12915650
2023-06-06,60.95,60.99,60.1244,60.31,10943520
2023-06-07,60.01,60.355,59.82,60.22,16817910
2023-06-08,60.13,60.405,59.98,60.37,15589980
2023-06-09,60.27,60.6667,60.17,60.47,12582570
2023-06-12,60.59,60.65,60.02,60.21,14220960
2023-06-13,60.21,60.67,60.04,60.45,13397780
2023-06-14,60.73,61.08,60.6,60.86,14099680
2023-06-15,60.61,61.2985,60.34,61.23,15271390
2023-06-16,61.6,62.17,61.48,61.67,26737980
2023-06-20,61.59,61.96,61.24,61.26,13973440
2023-06-21,61.31,61.7199,60.98,61.43,13948670
2023-06-22,61.81,62.1,61.585,61.85,15194160
2023-06-23,61.94,61.97,61.18,61.2,25112060
2023-06-26,61.205,61.29,60.39,61.22,12856070
2023-06-27,61.22,61.36,60.98,61.09,9068545
2023-06-28,60.88,61.04,60.4,60.52,11173180
2023-06-29,60.22,60.35,59.765,60.02,17142310
2023-06-30,60.0,60.35,59.87,60.22,19739190
2023-07-03,60.2,60.63,60.03,60.58,9694520
2023-07-05,60.28,61.1,60.16,61.03,14717680
2023-07-06,60.73,61.02,60.5,60.56,12604350
2023-07-07,60.31,60.495,59.73,59.76,14573960
2023-07-10,59.97,60.15,59.14,59.31,15480650
2023-07-11,59.46,59.56,58.84,59.52,15970130
2023-07-12,59.75,60.05,59.445,59.84,14241270
2023-07-13,60.12,60.46,59.98,60.35,11269750
2023-07-14,60.14,61.04,60.09,60.9,11634210
2023-07-17,60.76,61.1,60.49,60.81,10015420
2023-07-18,60.96,61.2488,60.41,60.57,11152930
2023-07-19,60.77,61.79,60.68,61.64,12936040
2023-07-20,61.68,62.41,61.67,62.39,11563020
2023-07-21,62.46,62.68,62.24,62.44,12815070
2023-07-24,62.42,62.81,62.4,62.46,10251140
2023-07-25,62.3,62.39,62.045,62.25,13422660
2023-07-26,61.86,63.17,61.39,63.05,17145520
2023-07-27,63.05,63.265,62.38,62.44,11517110
2023-07-28,62.585,62.77,62.2207,62.48,9723263
2023-07-31,62.45,62.45,61.73,61.93,15584500
2023-08-01,62.09,62.36,61.62,61.77,9283438
2023-08-02,61.56,62.585,61.56,61.96,11061080
2023-08-03,61.87,62.12,61.525,61.64,8039062
2023-08-04,61.68,61.89,60.62,60.71,9359298
2023-08-07,60.79,61.329,60.74,61.19,6982647
2023-08-08,61.19,61.35,60.62,60.92,7956064
2023-08-09,60.91,61.63,60.75,61.06,7904067
2023-08-10,61.35,61.73,60.79,60.92,7870314
2023-08-11,60.84,61.1982,60.69,61.17,8483912
2023-08-14,61.32,61.48,60.75,60.88,7176291
2023-08-15,60.69,60.8999,60.37,60.47,7187444
2023-08-16,60.54,60.82,60.4,60.48,8372266
2023-08-17,60.58,61.02,60.45,60.61,12873500
2023-08-18,60.54,61.085,60.37,60.95,11083770
2023-08-21,60.86,60.93,60.3206,60.43,8648519
2023-08-22,60.34,60.575,59.975,60.06,9412208
2023-08-23,60.2,60.435,60.16,60.27,7749490
2023-08-24,60.27,60.88,60.09,60.11,8955130
2023-08-25,60.41,60.57,60.01,60.39,7629222
2023-08-28,60.55,60.725,60.3692,60.56,6254255
2023-08-29,60.56,60.63,60.15,60.5,8189592
2023-08-30,60.64,60.74,60.2941,60.47,9447912
2023-08-31,60.3,60.47,59.805,59.83,14663460
2023-09-01,60.0,60.13,59.12,59.31,11262280
2023-09-05,59.25,59.32,58.67,58.82,12474640
2023-09-06,58.62,58.83,58.42,58.78,13923550
2023-09-07,58.95,59.16,58.3,58.33,17628590
2023-09-08,58.3,58.41,58.01,58.33,14332810
2023-09-11,58.4,58.99,58.225,58.88,14767420
2023-09-12,58.99,59.0,58.19,58.3,12292720
2023-09-13,58.4,58.68,58.34,58.44,12641370
2023-09-14,58.24,58.59,58.19,58.46,12311580
2023-09-15,58.41,58.635,57.75,57.94,55727510
2023-09-18,57.98,58.3499,57.63,58.3,13617370
2023-09-19,58.26,58.39,57.92,58.18,12000090
2023-09-20,58.3,58.83,58.08,58.44,14767920
2023-09-21,58.37,58.42,57.42,57.54,15945820
2023-09-22,57.85,57.965,57.5,57.6,14645390
2023-09-25,57.4,57.485,56.74,57.0,12358820
2023-09-26,56.73,56.895,56.4,56.53,11194700
2023-09-27,56.42,56.53,55.68,55.95,13766300
2023-09-28,56.23,56.32,55.7,55.81,12484770
2023-09-29,56.14,56.27,55.615,55.98,12271560
2023-10-02,55.91,56.009,55.075,55.48,11792500
2023-10-03,55.16,55.425,54.78,54.88,13604200
2023-10-04,54.89,55.28,54.71,55.04,12100520
2023-10-05,54.74,54.95,52.235,52.38,29878070
2023-10-06,52.04,53.29,51.55,53.14,30298870
2023-10-09,52.96,53.15,52.11,52.88,15704750
2023-10-10,54.13,54.33,53.56,54.03,20909680
2023-10-11,54.22,54.28,53.02,53.71,21138930
2023-10-12,53.76,53.83,52.4299,52.81,19330360
2023-10-13,52.74,53.42,52.64,52.89,14526990
2023-10-16,53.02,53.56,52.84,53.43,12816820
2023-10-17,53.31,54.1,53.21,54.07,16457190
2023-10-18,54.1,54.53,53.92,54.05,12809450
2023-10-19,54.16,54.76,53.86,54.35,16202190
2023-10-20,54.53,55.02,54.44,54.57,15686350
2023-10-23,54.38,54.89,54.045,54.08,21212650
2023-10-24,55.65,56.17,55.3,55.64,25290850
2023-10-25,55.76,56.2178,55.56,56.12,16701020
2023-10-26,56.37,56.625,55.72,55.78,16228390
2023-10-27,55.55,56.135,55.1,55.24,13626520
2023-10-30,55.43,56.275,55.42,56.15,15014290
2023-10-31,56.57,56.72,56.15,56.49,16639380
2023-11-01,56.8,56.88,56.26,56.44,14110800
2023-11-02,56.5,57.15,56.355,57.09,13087240
2023-11-03,57.4,57.59,56.7,56.74,13958730
2023-11-06,56.78,57.275,56.74,56.97,12673190
2023-11-07,56.92,57.3995,56.73,57.18,10449300
2023-11-08,57.32,57.465,56.92,57.09,13744010
2023-11-09,57.03,57.14,56.37,56.66,12021090
2023-11-10,56.87,56.925,56.055,56.72,11680430
2023-11-13,56.62,57.095,56.6,56.93,12798180
2023-11-14,57.02,57.24,56.805,57.1,12697070
2023-11-15,57.3,57.335,56.75,57.21,10201860
2023-11-16,57.25,57.53,56.81,57.15,16010450
2023-11-17,57.19,57.34,56.7,57.26,14476630
2023-11-20,57.05,57.575,56.955,57.4,13053920
2023-11-21,57.46,58.04,57.33,58.03,13891650
2023-11-22,58.26,58.535,58.1271,58.42,11327150
2023-11-24,58.46,58.75,58.335,58.57,4816024
2023-11-27,58.54,58.69,58.27,58.46,16246510
2023-11-28,58.4,58.83,58.36,58.58,13739610
2023-11-29,58.58,58.67,58.1,58.23,11263630
2023-11-30,57.96,58.455,57.6,58.44,22727490
2023-12-01,58.27,58.685,58.24,58.64,15371150
2023-12-04,58.59,58.955,58.44,58.57,14942250
2023-12-05,58.55,58.83,58.415,58.66,11891510
2023-12-06,58.56,58.73,58.205,58.6,14868550
2023-12-07,58.67,58.8901,58.39,58.74,11587870
2023-12-08,58.74,58.75,58.365,58.61,11178670
2023-12-11,58.83,59.09,58.5,59.04,14524770
2023-12-12,59.2,59.42,58.895,59.42,12899010
2023-12-13,59.45,60.02,59.26,59.93,16196750
2023-12-14,59.97,60.04,58.77,59.04,22478310
2023-12-15,58.83,59.17,57.8,58.6,65177380
2023-12-18,58.8,59.49,58.62,59.02,16717660
2023-12-19,59.0,59.2,58.635,58.83,14612200
2023-12-20,58.5,58.67,57.57,57.61,17701000
2023-12-21,57.85,58.07,57.47,57.99,11725120
2023-12-22,58.12,58.46,58.02,58.32,9029440
2023-12-26,58.06,58.705,58.06,58.56,6422531
2023-12-27,58.64,58.77,58.4,58.71,8560060
2023-12-28,58.65,58.87,58.525,58.75,8400138
2023-12-29,58.74,58.98,58.63,58.93,9244339
2024-01-02,58.8,59.88,58.67,59.82,16322590
2024-01-03,59.93,60.2,59.76,59.96,14830630
2024-01-04,60.05,60.26,59.66,59.76,12912930
2024-01-05,59.8,59.95,59.0921,59.67,10412800
2024-01-08,59.68,60.18,59.42,60.11,11554630
2024-01-09,59.99,60.135,59.62,60.0,10493650
2024-01-10,60.22,60.41,59.98,60.2,12257980
2024-01-11,60.25,60.26,59.69,59.81,13754230
2024-01-12,60.08,60.46,59.87,60.39,13218010
2024-01-16,60.39,60.43,59.85,59.99,11826910
2024-01-17,59.86,60.21,59.82,59.99,8982132
2024-01-18,59.69,60.23,59.525,60.16,10397680
2024-01-19,60.26,60.28,59.64,59.83,14392600
2024-01-22,59.755,60.065,59.44,59.57,14314270
2024-01-23,59.53,60.0,59.46,59.85,14481640
2024-01-24,59.8,59.81,58.89,58.91,16370480
2024-01-25,59.01,59.17,58.66,59.16,14899710
2024-01-26,59.25,59.49,59.125,59.37,13025070
2024-01-29,59.34,59.79,59.17,59.73,14547070
2024-01-30,59.85,60.02,59.445,59.9,22061540
2024-01-31,60.1,60.45,59.29,59.49,22837000
2024-02-01,59.57,61.005,59.36,60.98,15870880
2024-02-02,60.82,60.87,60.23,60.54,17544910
2024-02-05,60.38,60.38,59.88,60.04,12759570
2024-02-06,59.96,60.05,59.68,59.94,12777150
2024-02-07,60.07,60.21,59.94,59.99,10259890
2024-02-08,59.89,59.97,59.41,59.83,12874760
2024-02-09,59.47,59.58,59.03,59.56,15235250
2024-02-12,59.66,59.76,58.96,59.7,13516780
2024-02-13,59.5,60.655,58.79,59.35,24195710
2024-02-14,59.17,59.59,59.035,59.29,15872450
